date_key,week_start,week_end,week_num,calendar_month,calendar_month_name,calendar_quarter,calendar_year,trading_year,trading_period,trading_period_num,week_in_trading_period,is_school_holiday_peak,is_festive_peak
2026-02-09,2026-02-09,2026-02-15,85,2,February,Q1,2026,TY2,P09,9,1,False,False
2026-02-16,2026-02-16,2026-02-22,86,2,February,Q1,2026,TY2,P09,9,2,False,False
2026-02-23,2026-02-23,2026-03-01,87,2,February,Q1,2026,TY2,P09,9,3,False,False
2026-03-02,2026-03-02,2026-03-08,88,3,March,Q1,2026,TY2,P09,9,4,False,False
2026-03-09,2026-03-09,2026-03-15,89,3,March,Q1,2026,TY2,P10,10,1,False,False
2026-03-16,2026-03-16,2026-03-22,90,3,March,Q1,2026,TY2,P10,10,2,False,False
2026-03-23,2026-03-23,2026-03-29,91,3,March,Q1,2026,TY2,P10,10,3,False,False
2026-03-30,2026-03-30,2026-04-05,92,3,March,Q1,2026,TY2,P10,10,4,False,False
2026-04-06,2026-04-06,2026-04-12,93,4,April,Q2,2026,TY2,P11,11,1,True,False
2026-04-13,2026-04-13,2026-04-19,94,4,April,Q2,2026,TY2,P11,11,2,True,False
2026-04-20,2026-04-20,2026-04-26,95,4,April,Q2,2026,TY2,P11,11,3,True,False
2026-04-27,2026-04-27,2026-05-03,96,4,April,Q2,2026,TY2,P11,11,4,True,False
2026-05-04,2026-05-04,2026-05-10,97,5,May,Q2,2026,TY2,P12,12,1,False,False
2026-05-11,2026-05-11,2026-05-17,98,5,May,Q2,2026,TY2,P12,12,2,False,False
2026-05-18,2026-05-18,2026-05-24,99,5,May,Q2,2026,TY2,P12,12,3,False,False
2026-05-25,2026-05-25,2026-05-31,100,5,May,Q2,2026,TY2,P12,12,4,False,False
2026-06-01,2026-06-01,2026-06-07,101,6,June,Q2,2026,TY2,P13,13,1,False,False
2026-06-08,2026-06-08,2026-06-14,102,6,June,Q2,2026,TY2,P13,13,2,False,False
2026-06-15,2026-06-15,2026-06-21,103,6,June,Q2,2026,TY2,P13,13,3,False,False
2026-06-22,2026-06-22,2026-06-28,104,6,June,Q2,2026,TY2,P13,13,4,False,False
